FieldID	name	fieldType	IndexType	unitSet	unitModel	unitMetric	unitEnglish	SLower	SUpper	HLower	HUpper	Source	Type	ReadOnly	HasHelp	Access	Transfer	D1 type	D1 set	D1 model	D1 metric	D1 English	D1 BSL	D1 BSU	D1 BHL	D1 BHU	D1 source	D2 type	D2 set	D2 model	D2 metric	D2 English	D2 BSL	D2 BSU	D2 BHL	D2 BHU	D2 source	D3 type	D3 set	D3 model	D3 metric	D3 English	D3 BSL	D3 BSU	D3 BHL	D3 BHU	D3 source
kPlantFractionRootWtAtMaturity_frn	"Root fraction of total biomass at maturity, by weight"	1 Single	1 None	26 kNonChangingUnitFraction	1 fraction	1 fraction	1 fraction	0	0.999	0	0.999	1 Epic	1 Parameter	FALSE	FALSE	params.fractionRootWtAtMaturity_frn	1 MFD	0 Undefined										
kPlantFractionStorageOrganAllocationAtMaturity_frn	"Storage organ fraction of total biomass at maturity, by weight"	1 Single	1 None	26 kNonChangingUnitFraction	1 fraction	1 fraction	1 fraction	0	1	0	1	3 Unit set	1 Parameter	FALSE	FALSE	params.fractionStorageOrganAllocationAtMaturity_frn	1 MFD	0 Undefined										
kPlantFrostReductionFactorParams	S Curve - effect of air temperature (below freezing) on frost damage	1 Single	4 S curve	5 kTemperature	1 degrees C	1 degrees C	2 degrees F	-30	0	-30	0	1 Epic	1 Parameter	FALSE	FALSE	params.frostReductionFactorParams	3 S curve	0 Undefined										
kPlantGrowthOptionsIgnoreAerationStress	Ignore aeration stress (waterlogging)	8 Boolean	1 None	30 kNonChangingUnitBoolean	1 True/False	1 True/False	1 True/False					0 No source	1 Parameter	FALSE	FALSE	options[kPlantOptionsIgnoreAerationStress]	1 MFD	0 Undefined										
kPlantGrowthOptionsIgnoreAluminumToxicity	Ignore aluminum toxicity of soil	8 Boolean	1 None	30 kNonChangingUnitBoolean	1 True/False	1 True/False	1 True/False					0 No source	1 Parameter	FALSE	FALSE	options[kPlantOptionsIgnoreAluminumToxicity]	1 MFD	0 Undefined										
kPlantGrowthOptionsIgnoreGerminationRequirements	Ignore germination requirements	8 Boolean	1 None	30 kNonChangingUnitBoolean	1 True/False	1 True/False	1 True/False					0 No source	1 Parameter	FALSE	FALSE	options[kPlantOptionsIgnoreGerminationRequirements]	1 MFD	0 Undefined										
kPlantGrowthOptionsIgnoreLeafSenescence	Ignore leaf senescence	8 Boolean	1 None	30 kNonChangingUnitBoolean	1 True/False	1 True/False	1 True/False					0 No source	1 Parameter	FALSE	FALSE	options[kPlantOptionsIgnoreLeafSenescence]	1 MFD	0 Undefined										
kPlantGrowthOptionsIgnoreLifeCycleLimits	Ignore annual/biennial limits on life cycle	8 Boolean	1 None	30 kNonChangingUnitBoolean	1 True/False	1 True/False	1 True/False					0 No source	1 Parameter	FALSE	FALSE	options[kPlantOptionsIgnoreLifeCycleLimits]	1 MFD	0 Undefined										
kPlantGrowthOptionsIgnorePhotoperiod	Ignore photoperiod for flowering and fruiting	8 Boolean	1 None	30 kNonChangingUnitBoolean	1 True/False	1 True/False	1 True/False					0 No source	1 Parameter	FALSE	FALSE	options[kPlantOptionsIgnorePhotoperiod]	1 MFD	0 Undefined										
kPlantGrowthOptionsIgnoreReproductiveDecay	Ignore fruit decay	8 Boolean	1 None	30 kNonChangingUnitBoolean	1 True/False	1 True/False	1 True/False					0 No source	1 Parameter	FALSE	FALSE	options[kPlantOptionsIgnoreReproductiveDecay]	1 MFD	0 Undefined										
